Sample Name	Condition
sample1YG	Young
sample2YG	Young
sample3YG	Young
sample4YG	Young
sample5YG	Young
sample6YG	Young
sample7YG	Young
sample8YG	Young
sample9YG	Young
sample10YG	Young
sample11YG	Young
sample12YG	Young
sample13YG	Young
sample14YG	Young
sample15YG	Young
sample16YG	Young
sample17YG	Young
sample18YG	Young
sample19YG	Young
sample20YG	Young
sample21YG	Young
sample22YG	Young
sample23YG	Young
sample24YG	Young
sample25YG	Young
sample26YG	Young
sample27YG	Young
sample28YG	Young
sample1SN	Senior
sample2SN	Senior
sample3SN	Senior
sample4SN	Senior
sample5SN	Senior
sample6SN	Senior
sample7SN	Senior
sample8SN	Senior
sample9SN	Senior
sample10SN	Senior
sample11SN	Senior
sample12SN	Senior
sample13SN	Senior
sample14SN	Senior
sample15SN	Senior
sample16SN	Senior
sample17SN	Senior
sample18SN	Senior
sample19SN	Senior
sample20SN	Senior
sample21SN	Senior
sample22SN	Senior
sample23SN	Senior
sample24SN	Senior
sample25SN	Senior
sample26SN	Senior
sample27SN	Senior
sample28SN	Senior
sample29SN	Senior
sample30SN	Senior
sample31SN	Senior
sample32SN	Senior
sample33SN	Senior
sample34SN	Senior
sample35SN	Senior
sample36SN	Senior
